#;Nom;Adresse;Code postal;Ville;Téléphone;E-mail;Site / réseau;Cuisine;Raison sociale (SIRENE);SIREN;Dirigeant;Source OSM;Statut;Notes
20;Cosy 55;55 Boulevard des Batignolles;75008;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/10648798805;À contacter;
21;L'Afrodisiac;3 Rue de Courcelles;75008;Paris;;;;Africaine (d’après le nom);;;;https://www.openstreetmap.org/node/4227753690;À contacter;
22;Les sœurs Ylikis;7 Rue de Miromesnil;75008;Paris;;;;Comorienne;LES SOEURS YLIKIS (LES SOEURS YLIKIS);910816610;ICHATA BACARI;https://www.openstreetmap.org/node/11711005370;À contacter;
23;Lucy;49 Rue de Laborde;75008;Paris;06 37 24 35 17;contact@lucy-restaurant-ethiopien-paris.fr;https://lucy-restaurant-ethiopien-paris.fr/;Éthiopienne;LUCY TODD;817575624;LUCY ELIZABETH TODD;https://www.openstreetmap.org/node/13683451928;À contacter;
24;Osè African Cuisine;14 Rue du Rocher;75008;Paris;02 49 31 98 33;;https://www.oseafricancuisine.com;Africaine;;;;https://www.openstreetmap.org/node/11400030055;À contacter;
25;Addis Abeba;56 Rue Notre-Dame de Lorette;75009;Paris;01 40 80 06 78;;;Africaine (d’après le nom);RESTAURANT ADDIS ABEBA;419667027;NIGESTI GEBREYOHANS GARZA;https://www.openstreetmap.org/node/846226685;À contacter;
26;Addis Ethiopia;52 Rue Blanche;75009;Paris;;;;Africaine, Éthiopienne;ADDIS ABEBA;832406409;SERABUZU MEHARI GULBET;https://www.openstreetmap.org/node/10112208737;À contacter;
27;Boliaka;50 Rue Saint-Georges;75009;Paris;06 64 05 89 69;;;Africaine, vietnamese;BOLIAKA;979910056;PATRICK MUKULUNGU FINTA;https://www.openstreetmap.org/node/11811085783;À contacter;
28;L'embuscade;47 Rue Catherine de La Rochefoucauld;75009;Paris;01 42 80 19 50;afrikachikk@gmail.com;https://lembuscade-restaurant-paris.eatbu.com/?lang=fr;Africaine;;;;https://www.openstreetmap.org/node/4806987238;À contacter;
29;Taitu;1B Rue Bleue;75009;Paris;;;https://taitu-paris.business.site/;Éthiopienne;;;;https://www.openstreetmap.org/node/4488714447;À contacter;
30;Africana;15 Rue de Saint-Quentin;75010;Paris;;;L-Africana-Le-Kamer-1511068365842983;Africaine;AFRICANA (LE KAMER);805087293;NATHALIE CHANCELLE JOUNDA;https://www.openstreetmap.org/node/4823836364;À contacter;
31;Afrika - Chez Grand Youze;64 Rue du Faubourg Saint-Martin;75010;Paris;06 51 87 83 65;;https://restaurant-africain-ivoirien-paris10.fr/;Africaine;DOSS RESTAURANT (AFRIKA NOUVELLE GENERATION CHEZ GRAND YOUZE);912457991;;https://www.openstreetmap.org/node/9273093578;À contacter;
32;BMK Paris-Bamako;14 Rue de la Fidélité;75010;Paris;09 82 54 17 48;contact@bmkparis.com;https://www.bmkparis.com/;Africaine;;;;https://www.openstreetmap.org/node/6983801506;À contacter;
33;Bomaye;16 Rue de Paradis;75010;Paris;06 44 63 59 41;hello@bomayeclub.com;https://www.bomayeclub.com;Africaine, burger;BOMAYE BURGER;918107483;;https://www.openstreetmap.org/node/5417941786;À contacter;
34;Chez la Mama;66 Boulevard de Strasbourg;75010;Paris;01 40 40 76 64;;;Africaine;CHEZ LA MAMA;838074300;NOGOSSIA BAKAYOKO (BAKAYOKO);https://www.openstreetmap.org/node/12766650731;À contacter;
35;Jah Jah by Le Tricycle;11 Rue des Petites Écuries;75010;Paris;01 46 27 38 03;letricycle.contact@gmail.com;https://www.jahjahparis.com/;Africaine, burger, Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/6200938740;À contacter;
36;Kuti;6 Rue des Petites Écuries;75010;Paris;;;;Africaine;KUTI PETITES ECURIES;987841038;ANTOINE JEAN-MARIE LECOCQ;https://www.openstreetmap.org/node/12380075402;À contacter;
37;L'Africain;50 Rue du Faubourg Saint-Martin;75010;Paris;;;;Africaine;ALBERTO L'AFRICAIN (ALBERTO L'AFRICAIN);530017912;;https://www.openstreetmap.org/node/3363329108;À contacter;
38;L'Etoile d'Afrique;69 Boulevard de Strasbourg;75010;Paris;;;;Africaine;L'ETOILE D'AFRIQUE;537409054;OUMAROU PATHE DIALLO;https://www.openstreetmap.org/node/6909766620;À contacter;
39;Lakay Madiba;50 Boulevard de Strasbourg;75010;Paris;01 42 41 54 65;madiba75010@gmail.com;;Africaine;;;;https://www.openstreetmap.org/node/4744823221;À contacter;
40;Les Amis Afro;197 Rue Saint-Maur;75010;Paris;;;;Africaine (d’après le nom);;;;https://www.openstreetmap.org/node/7386378342;À contacter;
41;Les Saveurs du Monde;84 Rue du Faubourg Saint-Martin;75010;Paris;;;;Africaine;LES SAVEURS DU MONDE (LES SAVEURS DU MONDE);801330416;MARC DEVALLOIS NGALANI;https://www.openstreetmap.org/node/4257560293;À contacter;
42;Massawa;22 Rue du Château Landon;75010;Paris;09 50 84 55 05;;;Éthiopienne;;;;https://www.openstreetmap.org/node/4775676722;À contacter;
43;New Soul Food le Maquis;21 Rue Louis Blanc;75010;Paris;06 26 83 02 06;;https://newsoulfood.fr;Africaine;;;;https://www.openstreetmap.org/node/987614358;À contacter;
44;Oh Africa;6 Rue de Paradis;75010;Paris;06 58 63 75 27;ohafrica.traiteur@gmail.com;https://wiicmenu-qrcode.com/app/offre.php?resto=102;Africaine;;;;https://www.openstreetmap.org/node/10092575591;À contacter;
45;Oh My Jerk!;3 Rue Eugène Varlin;75010;Paris;;contact@ohmyjerk.com;https://ohmyjerk.com/;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/3978232562;À contacter;
46;Osè ! Afro Streetfood;32 Rue du Faubourg Saint-Martin;75010;Paris;09 73 56 40 84;;https://www.oseafricancuisine.com/;Africaine;;;;https://www.openstreetmap.org/node/4257560399;À contacter;
47;Saveur Ivoirienne;69 Boulevard de Strasbourg;75010;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/13729926965;À contacter;
48;Shah;4 Rue de Saint-Quentin;75010;Paris;;;;Africaine, pizza;;;;https://www.openstreetmap.org/node/4823836371;À contacter;
49;Soré;6 Rue de Marseille;75010;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/5314517461;À contacter;
50;Vidji;90 Rue de Maubeuge;75010;Paris;01 42 96 47 56;contact@lescopainsdebastien.fr;vidji.restaurant;Africaine;;;;https://www.openstreetmap.org/node/9450855762;À contacter;
51;African kitchen;92 Rue Saint-Maur;75011;Paris;;;;Africaine (d’après le nom);AFRICAN KITCHEN (AFRICAN KITCHEN) (AFRICAN KITCHEN);538302340;OLIVIA MUTAE;https://www.openstreetmap.org/node/9006878973;À contacter;
52;Bakel;98 Rue Oberkampf;75011;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/6964519395;À contacter;
53;BMK Folie Bamako;40 Rue Jean-Pierre Timbaud;75011;Paris;09 87 56 36 28;contact@bmkparis.com;https://www.bmkparis.com/bmk-folie-bamako;Africaine;;;;https://www.openstreetmap.org/node/8769951905;À contacter;
54;Bomaye;15 Rue de Charonne;75011;Paris;;;;Africaine;BOMAYE BURGER CHARONNE;931517809;;https://www.openstreetmap.org/node/8315067749;À contacter;
55;Chez Boudou;2bis Rue de Vaucouleurs;75011;Paris;06 33 24 24 79;;;Sénégalaise;CHEZ BOUDOU;941421711;ABDELAZIZ EL BEZAZI;https://www.openstreetmap.org/node/12589711247;À contacter;
56;Chez Lemzo;52 Rue Godefroy Cavaignac;75011;Paris;09 81 85 72 76;;https://chezlemzo.my.canva.site/;Africaine;;;;https://www.openstreetmap.org/node/11901894869;À contacter;
57;Chicken Spot;12 Rue de Lappe;75011;Paris;;;;burger, Antillaise / Caraïbes;MIGOS (CHICKEN SPOT);880254909;XXX TARUN AHMED SHAGAR;https://www.openstreetmap.org/node/5324631705;À contacter;
58;Diambo-Resto;28 Rue Neuve des Boulets;75011;Paris;09 80 72 66 75;M.diambo@orange.fr;https://diambo-resto.eatbu.com;Africaine, mali;DIAMBO RESTO (DIAMBO RESTO);838044204;MAMADOU DIAMBO;https://www.openstreetmap.org/node/13938679651;À contacter;
59;DKR;19 Rue de la Roquette;75011;Paris;01 48 05 69 19;;https://www.restaurant-taj.com/;Africaine;;;;https://www.openstreetmap.org/node/1307259082;À contacter;
60;Ethiopia Restaurant;89 Rue du Chemin Vert;75011;Paris;01 49 29 99 68;;http://www.restaurant-ethiopia.com/;Éthiopienne;;;;https://www.openstreetmap.org/node/2312084272;À contacter;
61;Gwada Café;47 Rue Léon Frot;75011;Paris;01 40 24 01 24;;;Créole;GWADA CAFE;805185758;LILIANE DELRUE (MOOTHOOCARPEN);https://www.openstreetmap.org/node/10868173281;À contacter;
62;La Paillotte D’Or;31 Rue Pétion;75011;Paris;09 55 33 33 38;;;Africaine;PAILLOTE D'OR;477914329;JACQUELINE MANYAGA TCHANGUE;https://www.openstreetmap.org/node/3484217826;À contacter;
63;Le Village;86 Avenue Parmentier;75011;Paris;01 48 05 63 45;;;Sénégalaise;LE VILLAGE;819780743;PIERRE-EMMANUEL FLEURANTIN;https://www.openstreetmap.org/node/3483634528;À contacter;
64;Mosseb;52 Rue de Montreuil;75011;Paris;01 43 48 91 52;;;Éthiopienne;MOSSEB (MOSSEB);104360532;YDNEKACHEW TEKOLA (TEKOLA);https://www.openstreetmap.org/node/9909649585;À contacter;
65;Planet Africa;52 Rue Oberkampf;75011;Paris;;;;Africaine (d’après le nom);PLANET AFRICA;412534216;;https://www.openstreetmap.org/node/10032478379;À contacter;
66;Savane & Mousson;47 Boulevard Richard-Lenoir;75011;Paris;01 79 73 70 10;contact@savane-mousson.fr;https://www.savane-mousson.fr/notre-restaurant-paris-11/;Africaine, asian, japanese, maghreb, sushi, vietnamese;SAVANE & MOUSSON RESTAURANT 1;909465130;AISSATA FANE;https://www.openstreetmap.org/node/3207283940;À contacter;
67;She Ger;2 Passage du Jeu de Boules;75011;Paris;01 43 38 05 04;;;Éthiopienne;;;;https://www.openstreetmap.org/node/2407746453;À contacter;
68;Waly-Fay;6 Rue Godefroy Cavaignac;75011;Paris;01 40 24 17 79;;https://www.walyfay.fr/;Africaine;;;;https://www.openstreetmap.org/node/12150302458;À contacter;
69;À la banane ivoirienne;10 Rue de la Forge Royale;75011;Paris;;;;Ivoirienne;;;;https://www.openstreetmap.org/node/1096116921;À contacter;
70;Afri Call Food;5 Rue Michel Chasles;75012;Paris;01 43 07 03 45;;https://africallfood.com;Africaine;;;;https://www.openstreetmap.org/node/4841385021;À contacter;
71;FnF;87 Rue Claude Decaen;75012;Paris;;;;Africaine;FNF RESTAURANT;935291732;SAJID MIAH;https://www.openstreetmap.org/node/11396875869;À contacter;
72;Graiky;12 Rue de Madagascar;75012;Paris;09 83 77 17 39;;;kebab, Africaine;GRAIKY;920106929;CHEIK COULIBALY (COULIBALY);https://www.openstreetmap.org/node/12951461876;À contacter;
73;Les Délices de Maeva;13 Rue de Wattignies;75012;Paris;;;;Africaine;LES DELICES DE MAEVA;942444233;TOKRO RACHEL SASSA (PIEKOURA KOUADIO);https://www.openstreetmap.org/node/12987509268;À contacter;
74;Africa Food;55 Rue Albert;75013;Paris;;;;Africaine (d’après le nom);DOUKAFA (AFRICA FOOD);904494788;ADAMA FOFANA (SOUMOUNOU);https://www.openstreetmap.org/node/5918648277;À contacter;
75;Afrik'N'Fusion;54 Rue Jeanne d'Arc;75013;Paris;01 88 32 01 32;;https://afriknfusion.fr;Africaine;;;;https://www.openstreetmap.org/node/8540598857;À contacter;
76;Café Maasaï;34 Avenue Pierre Mendès France;75013;Paris;+0756285608;hello@lemaasai.fr;https://cafemaasai.fr;Africaine;;;;https://www.openstreetmap.org/node/1583624750;À contacter;
77;Food Bus Savane & Mousson;128 Avenue de France;75013;Paris;03 74 15 54 02;contact@savane-mousson.fr;https://www.savane-mousson.fr/le-bus-paris-13eme/;Africaine;;;;https://www.openstreetmap.org/node/12121830201;À contacter;
78;Katoro;85 Rue Albert;75013;Paris;;;;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/4204598689;À contacter;
79;Le Soixante Douze;72 Rue du Chevaleret;75013;Paris;01 45 84 18 03;ketty@kamukera.com;https://www.lesoixantedouze.com;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/3506897281;À contacter;
80;Malibu Lounge;1 Rue Bourgon;75013;Paris;;;;Africaine;MALIBU LOUNGE;848278537;MICHEL MAU;https://www.openstreetmap.org/node/8514412785;À contacter;
81;Moonlight;119 Avenue de Choisy;75013;Paris;;;;Djiboutienne;;;;https://www.openstreetmap.org/node/2217649188;À contacter;
82;O'Soleil;21 Rue de Patay;75013;Paris;06 67 36 97 15;arcenciel.75013@gmail.com;https://couscoustolbiac.fr/;Africaine, couscous;;;;https://www.openstreetmap.org/node/2847602303;À contacter;
83;Aux Saveurs d'Afrique;91 Avenue du Général Leclerc;75014;Paris;;;;Africaine;LA GRILLADE PARISIENNE AUX SAVEURS D'AFRIQUE;940135023;SAMBOU TRAORE;https://www.openstreetmap.org/node/13020789401;À contacter;
84;La Cantine des Arbustes;5 Rue des Arbustes;75014;Paris;;arbustes@refugee-food.org;https://refugee-food.org/la-cantine-des-arbustes-nouveau-restaurant-social-et-engage-dans-le-14eme-a-paris/;Africaine;;;;https://www.openstreetmap.org/node/10222468424;À contacter;
85;La Main d'Or;45 Rue de Gergovie;75014;Paris;;;;Africaine;LA MAIN D' OR;525150298;NADINE KAZEM ALI;https://www.openstreetmap.org/node/9974705823;À contacter;
86;Le Comptoir de Nosy Be;18 Rue Lacaze;75014;Paris;07 70 01 72 51;;;Malgache;LE COMPTOIR DE NOSY BE;984928507;MELIBARY SANDRINA;https://www.openstreetmap.org/way/79804443;À contacter;
87;Le Sawa;196 Avenue du Maine;75014;Paris;01 45 43 12 88;hello@centralapp.com;https://lesawa.com;Camerounaise;;;;https://www.openstreetmap.org/node/7502681689;À contacter;
88;Lokita;36 Rue Pernety;75014;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/8185488295;À contacter;
89;Mosuke;11 Rue Raymond Losserand;75014;Paris;01 43 20 21 39;contact@mosuke-restaurant.com;https://www.mosuke-restaurant.fr;japanese, Africaine;MOSUKE;884078908;EMILIE ROUQUETTE;https://www.openstreetmap.org/node/495633106;À contacter;
90;Moulin Créole;34B Rue des Plantes;75014;Paris;01 45 39 31 31;;https://www.moulin-creole-paris.fr;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/158603712;À contacter;
91;Tililis L'afro-Karibean;3 Rue de la Tombe Issoire;75014;Paris;;;;Africaine (d’après le nom);;;;https://www.openstreetmap.org/node/2350561720;À contacter;
92;Habesha;19 Rue Copreaux;75015;Paris;01 43 06 09 42;;;Éthiopienne;;;;https://www.openstreetmap.org/node/4155669397;À contacter;
93;Kfé del Twins;37 Rue Viala;75015;Paris;;;;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/6578308159;À contacter;
94;Mufasa;132 Rue Lecourbe;75015;Paris;09 81 42 87 06;;;Africaine;MUFASA (MUFASA);981592421;SAIN YAPO;https://www.openstreetmap.org/node/5155831962;À contacter;
95;Assinie;74 Rue de Tocqueville;75017;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/11172468682;À contacter;
96;Fourchette D'Afrique;2bis Passage Petit Cerf;75017;Paris;;;;Africaine;FOURCHETTE D'AFRIQUE;513486688;JEANNE MATAGNE;https://www.openstreetmap.org/node/13760714653;À contacter;
97;La Doyenne;27 Rue Sauffroy;75017;Paris;01 42 28 36 07;;restaurant_ladoyenne;Africaine;;;;https://www.openstreetmap.org/node/12372555601;À contacter;
98;Le Baromètre;9 Rue Lechapelais;75017;Paris;01 53 04 02 55;;http://www.restaurantlebarometre.com;Africaine;;;;https://www.openstreetmap.org/node/4782895321;À contacter;
99;Le Bisso;48 Rue de la Jonquière;75017;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/12021035015;À contacter;
100;Les Délices;42 Rue Lemercier;75017;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/8758561558;À contacter;
101;Moudiba's Taste;5 Passage Cardinet;75017;Paris;;;;Gabonaise;KEOPHAS BMG (MOUDIBA'S TASTE);928930106;STEPHANE MARIE-NELLY;https://www.openstreetmap.org/node/11139458571;À contacter;
102;Ménélik;4 Rue Sauffroy;75017;Paris;01 46 27 00 82;contact@menelikrestaurant.com;https://menelikrestaurant.com/;Éthiopienne;ELISABETH YITBARK (PARTOUCHE) (MENELIK);403830482;ELISABETH YITBARK (PARTOUCHE);https://www.openstreetmap.org/node/3932548845;À contacter;
103;Pike Poké;24 Rue Vernier;75017;Paris;;;;Antillaise / Caraïbes;LIAM (PIKE POKE);790865802;ERSTEL DAHAN (DAHAN);https://www.openstreetmap.org/node/2732269108;À contacter;
104;Victoria Lounge;4 Rue Gauthey;75017;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/12064442043;À contacter;
105;225;62 Rue Championnet;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/7074408485;À contacter;
106;Africa delices;41 Rue de la Chapelle;75018;Paris;;;;Africaine (d’après le nom);GALLE (AFRICA DELICES);538425885;IBRAHIMA FALL;https://www.openstreetmap.org/node/9135932924;À contacter;
107;Africa Grill;95 bis Rue du Mont Cenis;75018;Paris;01 83 91 95 18;;;Africaine;AFRICA GRILL;882001373;ROGER NDEM;https://www.openstreetmap.org/node/1674952998;À contacter;
108;Armelle et Henri;3 Rue Audran;75018;Paris;01 42 52 36 97;;http://armelle-henri.com;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/4761762721;À contacter;
109;Au Baobab;68 Rue Marx Dormoy;75018;Paris;;;;Africaine (d’après le nom);LE BAOBAB (LE BAOBAB);753229962;;https://www.openstreetmap.org/node/2349356972;À contacter;
110;Au Paradis Tropical;6 Rue Custine;75018;Paris;;;;Créole;S.M.A;802702506;SCHERLIE BIEN AIMÉ;https://www.openstreetmap.org/node/5041990719;À contacter;
111;Bangou Lunch;62 Rue Pajol;75018;Paris;09 83 90 04 62;;;Africaine;BANGOU LUNCH;907886147;ISAAC TOUSSAINT KOUAHOU SUWOU;https://www.openstreetmap.org/node/2502812285;À contacter;
112;Best Africa;58 Rue Doudeauville;75018;Paris;;;;Ouest-africaine;OLD BEST AFRICA;508230844;;https://www.openstreetmap.org/node/5938742116;À contacter;
113;Cercle d'Afrique;102 Rue Championnet;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/5221889571;À contacter;
114;Chez Lalla;52 Rue Championnet;75018;Paris;;;;Sénégalaise;;;;https://www.openstreetmap.org/node/2555957191;À contacter;
115;Chez Zeyna;10 Rue Doudeauville;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/2394017308;À contacter;
116;DjonDjon Bowl;46 Avenue de Saint-Ouen;75018;Paris;01 42 51 02 22;;;Africaine;;;;https://www.openstreetmap.org/node/11039643211;À contacter;
117;Guiro;14 Rue Simart;75018;Paris;;;;Africaine;KPMR (COTE BREIZH) (GUIRO);899080808;BOURY NDIAYE GUIRO;https://www.openstreetmap.org/node/8985854948;À contacter;
118;Haïtian Mama;20 Rue Labat;75018;Paris;;;haitian_mama_paris;Antillaise / Caraïbes;HAITIAN MAMA;904625415;CHRISTELLE ELIACIN;https://www.openstreetmap.org/node/10048798817;À contacter;
119;Ivoire resto;57 Rue de Clignancourt;75018;Paris;;;;Africaine (d’après le nom);IVOIRE-RESTOS;849599709;AICHATOU FOFANA;https://www.openstreetmap.org/node/5055747516;À contacter;
120;Keur Bour Guewel - Restaurant sénégalais;21 Rue Affre;75018;Paris;;;;Sénégalaise;;;;https://www.openstreetmap.org/node/6010571920;À contacter;
121;Keur Yacine;4 Rue Jean Robert;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/4732412395;À contacter;
122;Koyaka Kitchen;38 Rue Myrha;75018;Paris;;;;Africaine;KOYAKA KITCHEN;788437499;ZEGUELA FOFANA;https://www.openstreetmap.org/node/6010571937;À contacter;
123;La Corne de l’Affrique;74 Rue Riquet;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/4983164158;À contacter;
124;La marmite des antilopes;3 Rue Buzelin;75018;Paris;;;;Africaine;L'ANTILOPE (LA MARMITE DES ANTILOPES);902466325;MARIE-MADELEINE BOUABRE;https://www.openstreetmap.org/node/4512440788;À contacter;
125;Le Bistrot du Maquis;69 Rue Caulaincourt;75018;Paris;;;;french;;;;https://www.openstreetmap.org/node/7965158387;À contacter;
126;Les Merveilles Délice d'Afrique;6 Rue de la Guadeloupe;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/2773538950;À contacter;
127;Luc Medard & Saveur;9 Rue Boucry;75018;Paris;01 42 00 46 70;;http://lucmedardetsaveur.fr/;Africaine;LUC MEDARD & SAVEUR (LUC MEDARD & SAVEUR) (LMS);814653028;LUC MEDARD NZABA NGANSI;https://www.openstreetmap.org/node/13504478263;À contacter;
128;Mam'Ayoka Pajol;20 Esplanade Nathalie Sarraute;75018;Paris;06 07 00 52 47;contact@mamayoka.com;http://www.mamayoka.com;cambodian, Africaine, maghrebi, equatorian, guadeloupean;;;;https://www.openstreetmap.org/node/3286375776;À contacter;
129;Mama Kossa;8 Rue Myrha;75018;Paris;07 52 02 64 39;;https://mamakossa.fr/;Africaine;;;;https://www.openstreetmap.org/node/13950668002;À contacter;
130;May Flower;7 Rue André Antoine;75018;Paris;;;;Africaine;GPM;951283167;JOSÉPHINE FLORE KAMENI LEUGOUE;https://www.openstreetmap.org/node/12753306363;À contacter;
131;Restaurant - B - Solution;12 Rue de Panama;75018;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/6015820437;À contacter;
132;Restaurant Chez Ma Coco;30 Rue de Laghouat;75018;Paris;01 42 64 13 17;;;Africaine;;;;https://www.openstreetmap.org/node/6007718345;À contacter;
133;Restaurant Sénégalais;25 Rue Léon;75018;Paris;;;;Africaine (d’après le nom);;;;https://www.openstreetmap.org/node/6007337357;À contacter;
134;Royal Taste Food;56 Rue Philippe de Girard;75018;Paris;;;;Somalienne;;;;https://www.openstreetmap.org/node/2861643827;À contacter;
135;Shengen Délice 18;48 Rue de Clignancourt;75018;Paris;01 82 09 69 92;;;Africaine;;;;https://www.openstreetmap.org/node/5050724475;À contacter;
136;Speed Africa;20 Rue Léon;75018;Paris;;;;Africaine (d’après le nom);SARL ML KIN PARIS SPEED AFRICA;831810239;OPHELIE KASSONGO;https://www.openstreetmap.org/node/6007337355;À contacter;
137;Afolé;187-189 Avenue Jean Jaurès;75019;Paris;01 85 73 09 89;;https://www.afole.com/;Africaine;;;;https://www.openstreetmap.org/node/12976517423;À contacter;
138;Africa in a Box;77 Avenue Jean Jaurès;75019;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/3662335541;À contacter;
139;Biftu Ethiopia Restaurant;80 Avenue Jean Jaurès;75019;Paris;;;;Africaine (d’après le nom);SARL BIFTU ETHIOPIA RESTAURANT;994343176;OMAR IBRAHIM ALI;https://www.openstreetmap.org/node/6538313589;À contacter;
140;Boolo Food;20 Rue de Joinville;75019;Paris;01 40 16 15 39;;;Africaine;;;;https://www.openstreetmap.org/node/12762565202;À contacter;
141;Chez Matty;5 Rue Rouvet;75019;Paris;07 53 34 55 91;;https://www.facebook.com/Restaurant-CHEZ-MATTY-61571301032480/;Africaine;CHEZ MATTY (RESTAURANT AFRICAIN CHEZ MATTY);984205005;EBAH NOEL FRANCK DIBY;https://www.openstreetmap.org/node/12973076001;À contacter;
142;Le Bolibar;45 Avenue Simón Bolívar;75019;Paris;07 68 85 33 23;;https://bolibarparis.com/;Africaine;;;;https://www.openstreetmap.org/node/2867368733;À contacter;
