#;Priorité;Nom;Adresse;CP;Ville;Tél;E-mail;Site;Spécialité / activité;Raison sociale;SIREN;NAF;Effectif;Création;Dirigeant;Source;Statut;Notes
11;A;Europe China;Bât. D6C, 65 RUE DE ROUEN;94150;Rungis;06 99 86 20 09;sarleuropechina@hotmail.com;http://aucun.com;Grossiste MIN de Rungis — Ananas, Banane Plantain, Noix De Coco, Produits Surgelés;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/4547-europe-china);À contacter;Clientèle : Restauration commerciale, Restauration collective, Commerce de détail alimentaire, Traiteurs
12;A;Exofoods;Bât. E5, 66 AVENUE DE NORMANDIE;94150;Rungis;06 38 74 92 73;exofoods.rungis@gmail.com;http://www.exofoods-rungis.fr;Grossiste MIN de Rungis — Attiéké, Banane Plantain, Banane Verte, Bananes, Gingembre, Igname, Manioc, Patate Douce Blanche;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5465-exofoods);À contacter;Clientèle : Commerce de gros
13;A;S-R Asvi Exotique;28 avenue du 8 Mai 1945;94260;Fresnes;09 63 66 90 99;;;Alimentation exotique (gros/demi-gros);;;;;;;PagesJaunes;À contacter;
14;A;Sai Vitry Exotique;2 avenue Anatole France;94400;Vitry-sur-Seine;01 49 84 21 21;;;Alimentation exotique (gros/demi-gros);;;;;;;PagesJaunes;À contacter;
15;A;Abcd De Lexotique;Bât. A3, 57 AVENUE DE BOURGOGNE;94550;Chevilly-Larue;01 46 87 21 32;thomas@bananier.com;http://www.bananier.com;Grossiste MIN de Rungis — Arachide, Avocat Créole, Banane Equitable, Banane Plantain, Banane Verte, Igname, Manioc, Pâte De Manioc;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/231-abcd-de-lexotique);À contacter;Clientèle : Restauration commerciale, Restauration collective, GMS, Commerce de détail alimentaire
16;A;Ba Distribution;Bât. E3, 78 RUE DE CARPENTRAS;94550;Chevilly-Larue;07 52 44 70 06;badistributionrungise3@gmail.com;;Grossiste MIN de Rungis — Banane Plantain;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5842-ba-distribution);À contacter;Clientèle : Autres
17;A;Banagrumes Sas;Bât. D2, 5 RUE DE MONTPELLIER;94550;Chevilly-Larue;01 45 12 28 40;banagrumes@banagrumes.com;https://www.banagrumes.com;Grossiste MIN de Rungis — Ananas, Ananas Extra Sweet, Ananas Pain De Sucre, Ananas Victoria, Avocat Cocktail, Avocat Tropical, Avocats, Avocats hass;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/533-banagrumes-sas);À contacter;Clientèle : Restauration commerciale, Restauration collective, GMS, Commerce de détail alimentaire
18;A;Drevin Exotics Soc Nouvelle;Bât. G5B, 2 RUE DU LANGUEDOC;94550;Chevilly-Larue;01 45 60 70 80;franck@drevinexotics.com;http://www.drevin-exotics.com;Grossiste MIN de Rungis — Avocat Tropical, Gingembre, Manioc;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/71-drevin-exotics-soc-nouvelle);À contacter;Clientèle : Commerce de gros
19;A;Exo 3 Sarl;Bât. E3, 110 AVENUE DE BRETAGNE;94550;Chevilly-Larue;01 45 60 43 20;exo3@gmail.com;http://exotrois.com/;Grossiste MIN de Rungis — Avocat Tropical, Banane Plantain, Bière De Gingembre, Gingembre, Igname, Manioc, Piment;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/3466-exo3-sarl);À contacter;Clientèle : Restauration commerciale, GMS, Commerce de détail alimentaire, Marchés forains
20;A;Exo-Ser;;94550;Chevilly-Larue (MIN Rungis);01 45 60 02 55;exo-ser@orange.fr;;Grossiste MIN de Rungis — Ananas Extra Sweet, Ananas Pain De Sucre, Ananas Victoria, Avocat Cocktail, Avocat Tropical, Banane Plantain, Gingembre, Igname;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/4032-exo-ser);À contacter;Clientèle : Restauration collective, GMS, Commerce de gros
21;A;Exotica;Bât. E4, 63 RUE DE LILLE;94550;Chevilly-Larue;09 67 31 62 61;olivier@exotica-rungis.fr;https://www.exotica-rungis.fr;Grossiste MIN de Rungis — Avocat Tropical, Banane Plantain, Banane Verte, Gingembre, Igname, Manioc, Piment, Riz;;803046176;;;;Olivier Tosent;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/4771-exotica);À contacter;Clientèle : Restauration commerciale, Commerce de détail alimentaire, Commerce de gros, Cash and carry
22;A;Lliso Freres Bananes Fruits Primeurs;Bât. A3, 16 RUE D'ANGERS;94550;Chevilly-Larue;01 56 70 22 37;germain.letierce@produfrais.fr;http://www.lliso-freres.com;Grossiste MIN de Rungis — Banane Verte, Bananes, Bananes antillaises, Bananes frécinettes, Bananes plantains;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/518-lliso-freres-bananes-fruits-primeurs);À contacter;Clientèle : Restauration commerciale, Restauration collective, GMS, Commerce de détail alimentaire
23;A;Maceo - La Maison Creole;;94550;Chevilly-Larue (MIN Rungis);01 56 70 10 30;distribution@maceo-groupe.fr;http://www.maceo-groupe.fr;Grossiste MIN de Rungis — Banane Plantain;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/73-maceo-la-maison-creole);À contacter;Clientèle : Restauration commerciale, Restauration collective, GMS, Commerce de détail alimentaire
24;A;Maceo Tradition;Bât. E4, 15 RUE DE LILLE;94550;Chevilly-Larue;01 56 70 10 30;r.dereynal@maceo-groupe.fr;http://www.maceo-groupe.fr;Grossiste MIN de Rungis — Banane Plantain;"MACEO TRADITION (MACEO TRADITION ; MAXI SEC ; LA MAISON CREOLE)";834258485;46.39B;20-49;2017;ETIENNE CATRY;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5299-maceo-tradition);À contacter;
25;A;Murantilles;;94550;Chevilly-Larue (MIN Rungis);01 45 12 34 70;o.decet@fruidor.fr;;Grossiste MIN de Rungis — Le marché est divisé en secteurs. Vous souhaitez vous implanter ? Nos commerciaux sont là ;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5548-murantilles);À contacter;
26;A;Primouest Impex;38 rue de Montpellier (MIN Rungis);94550;Rungis;01 46 87 56 73;;https://www.primouest.com;Importateur fruits exotiques (MIN Rungis);;;;;;;Site officiel;À contacter;
27;A;Psl France Sas;Bât. C3, 25 RUE DE TOULOUSE;94550;Chevilly-Larue;01 49 79 09 40;geoffroy@pslfrance.fr;;Grossiste MIN de Rungis — Ananas Cayenne Lisse, Ananas Victoria, Gingembre, Igname, Manioc, Piment;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/3189-psl-france-sas);À contacter;Clientèle : Commerce de gros, Cash and carry
28;A;Royal Exo;Bât. E3, 50 AVENUE DE BRETAGNE;94550;Chevilly-Larue;01 46 86 32 26;royal_exo@yahoo.fr;;Grossiste MIN de Rungis — Ananas, Avocat Tropical, Manioc, Patate Douce Blanche, Patate Douce Jaune, Piment;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/4333-royal-exo);À contacter;Clientèle : Restauration commerciale, GMS, Commerce de détail alimentaire, Marchés forains
29;A;Tropic Island;Bât. E4, 37 RUE DE LILLE;94550;Chevilly-Larue;01 56 70 08 68;a.giannakidis@tropic-island.fr;http://www.tropic-island.fr/;Grossiste MIN de Rungis — Dachine, Gingembre, Igname, Manioc, Piment, Poissons Salés, Poissons Séchés, Produits Ethniques Africains;TROPIC ISLAND;477577563;46.31Z;20-49;2004;ERIC BECHU;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5122-tropic-island);À contacter;Clientèle : Commerce de détail alimentaire, Marchés forains, Commerce de gros, Cash and carry
30;A;Tropica;Bât. E4, 37 RUE DE LILLE;94550;Chevilly-Larue;06 11 61 19 24;contact.tropicarungis@gmail.com;;Grossiste MIN de Rungis — Bananes plantains, Gombos, Manioc;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/5802-tropica);À contacter;Clientèle : GMS, Commerce de détail alimentaire, Bouchers charcutiers, Traiteurs
31;A;J and J Marché Exotique;Bât. 2, 21 rue Demanieux;94600;Choisy-le-Roi;09 61 38 56 08;;;Marché exotique / fournitures commerces alimentaires;;;;;;;PagesJaunes;À contacter;Autre n° : 01 48 99 91 68.
32;A;Annai Marché Exotique;1 rue Georges Lebigot;94800;Villejuif;01 43 90 03 28;;;Supermarché exotique (demi-gros);;;;;;;PagesJaunes;À contacter;
33;A;Générale Exotique — RR Alimentation;47 boulevard Maxime Gorki;94800;Villejuif;09 52 29 79 03;;;Alimentation exotique (gros/demi-gros);;;;;;;PagesJaunes;À contacter;
34;A;AFD44 — African Food & Drink;47 rue Vivienne;75002;Paris;06 27 58 83 85;contact@afd44.fr;https://afd44.fr;Grossiste produits alimentaires africains (+290 réf. : épicerie sèche, boissons, surgelés, frais) — compte pro, livraison France/Europe;;;;;;;Site officiel afd44.fr;À contacter;SIRET 102 509 726 00018. Jeune société (2026).
35;A;VT Cash & Carry;11-15 rue Cail;75010;Paris;01 40 05 07 18;;;Cash & carry produits importés (quartier La Chapelle) — coco râpé, épicerie exotique;;;;;;;Mappy / Yelp;À contacter;Ouvert mar–sam 9h–21h.
36;A;Mary Exotik;11 allée d'Andrézieux;75018;Paris;06 22 49 82 60;maryexotik@gmail.com;https://maryexotik.com;Fournisseur produits africains en gros pour restaurants/épiceries/traiteurs (attiéké, placali, poisson fumé, légumes africains);;;;;;;Site officiel maryexotik.com;À contacter;2e tél : 06 24 77 84 05. Livraison gratuite dès 150 €.
37;A;Miamland;14 rue de Lamirault;77090;Collégien;09 70 79 24 81;contact@miamland.com;https://www.miamland.com;Grossiste en ligne produits Afrique/exotiques/orientaux pour pros & particuliers — livraison toute l'IDF;;;;;;;Site officiel;À contacter;Mobile 06 72 40 90 24.
38;A;Seneafood;60 route Principale du Port;92230;Gennevilliers;01 80 88 22 59;;https://seneafood.com;Fabricant-importateur produits africains (pâtes de piment, bissap, fonio, thiakry, pâte d'arachide, fruits exotiques) — 20–49 salariés;;;;;;;Europages + site officiel;À contacter;Créée 2015.
39;A;Africa Food;2 avenue Henri Barbusse;93000;Bobigny;;;;"Grossiste alimentaire spécialisé (NAF 46.38B) — gros & demi-gros produits alimentaires ; dépôt secondaire 21 rue de Rouen, Le Blanc-Mesnil";AFRICA FOOD (MONDISTRIB);378186530;46.38B;3-5;1990;HELMI LAJILI;societe.com / SIRENE;À contacter;SIREN 378 186 530, créée 1990/1997, 3–5 salariés. Téléphone non publié : passer sur place.
40;A;Danton Exotic;La Courneuve (siège, NAF 46.90Z);93120;La Courneuve;;;;Négoce produits exotiques — 10–19 salariés;DANTON EXOTIC;534721360;46.90Z;20-49;2011;BERNARD BENAIS;SIRENE;À contacter;Créée 2011. Coordonnées à compléter.
41;A;Gnanam Exo;Aubervilliers (siège, NAF 46.90Z);93300;Aubervilliers;;;;Négoce produits exotiques — 10–19 salariés;GNANAM EXOTIQUE (GNANAM EXO);810542456;46.90Z;20-49;2015;FEHD AWAD;SIRENE;À contacter;Créée 2015. Coordonnées à compléter.
42;B;Exo Afro Evry;7 Rue Du Progres;93100;Montreuil;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);EXO AFRO EVRY;109511816;46.39B;;2026;ARSENE HERMANN TANKEU;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
43;B;Mali Distribution;54 Rue Des Sorins 127 Boulevard De Chanzy;93100;Montreuil;;;;Grossiste boissons (NAF 46.34Z);H.D. BON VIN;397916677;46.34Z;;1994;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
44;B;O'Bon Produits Exotiques;64 Avenue Du President Wilson;93100;Montreuil;;;;Grossiste fruits & légumes (NAF 46.31Z);VOSO GOTRE;839845567;46.31Z;;2018;VOSO OLGA GOTRE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
45;B;Sid Exotique;9 Place Carnot;93110;Rosny-Sous-Bois;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SID EXOTIQUE;102649589;46.39B;;2026;DOUSSOU SIDIBE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
46;B;Nensuka - Saveurs Du Congo;45 Avenue Des Sciences;93140;Bondy;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);VIRGINIE GOMES (GOMES) (NENSUKA);945405736;46.39B;;2025;VIRGINIE NENSUKA GOMES (GOMES);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
47;B;Emad Exotic;6 Avenue Marcel Legrand;93150;Le Blanc-Mesnil;;;;Grossiste alimentaire spécialisé (NAF 46.38B);EMAD EXOTIC;941272676;46.38B;;2025;MEDOUNE FALL;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
48;B;Karidja Diomande (Afrique Ivoire);3 Allee Des Hautes Herbes;93160;Noisy-Le-Grand;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);KARIDJA DIOMANDE (AFRIQUE IVOIRE);824567556;46.39B;;2017;KARIDJA DIOMANDE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
49;B;Lenda Exotique;16 Allee Du Val Fleuri;93160;Noisy-Le-Grand;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);LENDA EXOTIQUE;894060276;46.39B;;2021;GOSETTE MAKI LENDA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
50;B;Ravi Exotic;30 Rue Georges Clemenceau;93190;Livry-Gargan;;;;Grossiste fruits & légumes (NAF 46.31Z);RAVI EXOTIC;939119251;46.31Z;;2025;MADUMITHAN RAVEENDRAN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
51;B;Sultan Exotic;13 Rue De La Poterie;93200;Saint-Denis;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SULTAN EXOTIC;892180100;46.39B;6-9;2020;IMRAN ARSHAD SAKINA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
52;B;Terre Fertile De Cote D Ivoire;8-10 8 Rue Des Bles;93210;Saint-Denis;;;;Grossiste fruits & légumes (NAF 46.31Z);TERRE FERTILE DE COTE D IVOIRE;513626911;46.31Z;;2009;ANGHORA BONY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
53;B;Terra Green Exotic Foods;Batiment B - 26 Boulevard D'Aulnay;93250;Villemomble;;;;Grossiste fruits & légumes (NAF 46.31Z);TERRA GREEN EXOTIC FOODS;998984538;46.31Z;;2025;BINTA DIEBAKHATE (BADJI);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
54;B;Aminata Camara (Sylla) (Africa Vegetables);21 B Rue Des Cahouettes;93360;Neuilly-Plaisance;;;;Intermédiaire commerce alimentaire (NAF 46.17B);AMINATA CAMARA (SYLLA) (AFRICA VEGETABLES);885275263;46.17B;;2020;AMINATA CAMARA (SYLLA);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
55;B;Synea Exotics;17 Rue Du Canal;93360;Neuilly-Plaisance;;;;Grossiste fruits & légumes (NAF 46.31Z);SYNEA EXOTICS;944169572;46.31Z;;2025;NDÈYE ANTA SEYE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
56;B;Cibest Exotique;Chez M.Ehidom Vitus Odinaka 27 Rue Des Sablons;93380;Pierrefitte-Sur-Seine;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);CIBEST EXOTIQUE (CIBEST EXOTIQUE);921791976;46.39B;;2022;EMMANUEL ORAJEKWU CHUDI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
57;B;La Pierre Angulaire Exotique;72 Avenue Michelet;93400;Saint-Ouen-Sur-Seine;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);LA PIERRE ANGULAIRE EXOTIQUE;793952532;46.39B;;2013;JEAN MARCEL TSHIBEMBA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
58;B;Les Saveurs D'Afrique;22 Parc Des Courtillieres;93500;Pantin;;;;Grossiste surgelés (NAF 46.39A);LES SAVEURS D'AFRIQUE;500072731;46.39A;;2007;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
59;B;Afrique Exotique;6 Galerie Surcouf;93600;Aulnay-Sous-Bois;;;;Grossiste alimentaire spécialisé (NAF 46.38B);AFRIQUE EXOTIQUE;498157767;46.38B;;2007;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
60;B;Tropical Distribution Hub;7 Place De L'Hotel De Ville;93600;Aulnay-Sous-Bois;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TROPICAL DISTRIBUTION HUB (TDH 1804);102535630;46.39B;;2026;LYBENTO REMY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
61;B;Agro Exotic;48-50 48 Avenue D'Enghien;93800;Epinay-Sur-Seine;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);AGRO EXOTIC;490298775;46.39B;;2006;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
62;B;Hyper Exotique;17 Rue Thiers;94130;Nogent-Sur-Marne;;;;Grossiste alimentaire spécialisé (NAF 46.38B);HYPER EXOTIQUE;910186535;46.38B;;2021;SAÏD AHMARELHANK;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
63;B;Pjam;20 Rue Babeuf;94140;Alfortville;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);PRODUITS DES JARDINS D'AFRIQUE ET DU MONDE (PRODUITS DES JARDINS D'AFRIQUE ET DU MONDE) (PJAM);902331438;46.39B;;2021;IBRAHIMA KOUROUMA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
64;B;Le Marche International De L'Exotique;Fruileg S 105 Av Du Lyonnais;94150;Rungis;;;;Grossiste fruits & légumes (NAF 46.31Z);LE MARCHE INTERNATIONAL DE L'EXOTIQUE (LE MARCHE INTERNATIONAL DE L'EXOTIQUE) (MIE);824516611;46.31Z;10-19;2016;ALICE OUKEO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
65;B;Maceo Distribution;2 Rue De Provence;94150;Rungis;;;;Grossiste fruits & légumes (NAF 46.31Z);MACEO GROUPE (MACEO DISTRIBUTION MAXI SEC LA MAISON CREOLE);350668174;46.31Z;20-49;1989;ETIENNE CATRY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
66;B;Maceo Primeurs;Bat D9 2 Rue De Provence;94150;Rungis;;;;Grossiste fruits & légumes (NAF 46.31Z);"MACEO PRIMEURS (MACEO PRIMEURS ; MAXI SEC ; LA MAISON CREOLE)";844909499;46.31Z;6-9;2018;ETIENNE CATRY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
67;B;Sophia Exotique;166 Boulevard D'Alsace-Lorraine;94170;Le Perreux-Sur-Marne;;;;Grossiste alimentaire spécialisé (NAF 46.38B);SOPHIA EXOTIQUE;438645921;46.38B;;2001;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
68;B;Soleil Exotique;89 Rue Lafayette;94210;Saint-Maur-Des-Fosses;;;;Intermédiaire commerce alimentaire (NAF 46.17B);SOLEIL EXOTIQUE;424518272;46.17B;;1999;MUKUMADI KASONGO (KANKU);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
69;B;Baobab;63 Avenue De Fontainebleau;94270;Le Kremlin-Bicetre;;;;Plats préparés (NAF 10.85Z);BAOBAB;914500277;10.85Z;1-2;2022;YAYA DIANE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
70;B;Canal Exotic;4-6 4 Rue De L'Esperance;94320;Thiais;;;;Grossiste alimentaire spécialisé (NAF 46.38B);CANAL EXOTIC;399377159;46.38B;;1995;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
71;B;Sahel Saveurs Distribution;Avenue Du Progres;94400;Vitry-Sur-Seine;;;;Grossiste alimentaire spécialisé (NAF 46.38B);SAHEL SAVEURS DISTRIBUTION (SSD);105334783;46.38B;;2026;BAKARY BARADJI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
72;B;Francaise Exotique Distribution Reseaux;Zac Des Roseaux 4 Rue D Ile De France;94460;Valenton;;;;Grossiste alimentaire spécialisé (NAF 46.38B);FRANCAISE EXOTIQUE DISTRIBUTION RESEAUX (FEDER);393946082;46.38B;;1994;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
73;B;Abcd De L'Exotique;Bat A3 37 Avenue De Bourgogne;94550;Chevilly-Larue;;;;Intermédiaire commerce alimentaire (NAF 46.17B);ABCD DE L'EXOTIQUE;349923219;46.17B;10-19;1989;THOMAS BESNARD;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
74;B;Danga Exotic;53 Rue De Carpentras;94550;Chevilly-Larue;;;;Grossiste fruits & légumes (NAF 46.31Z);DANGA EXOTIC;500288857;46.31Z;3-5;2007;HOLDING JPM;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
75;B;Lacour Exotic International;Fruileg 375 106 Rue De Montpellier;94550;Chevilly-Larue;;;;Grossiste fruits & légumes (NAF 46.31Z);LACOUR EXOTIC INTERNATIONAL (LEXO) (LEI);845136357;46.31Z;20-49;2019;JULIE SZTRAJT (SZTRAJT DIT FLINKER);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
76;B;Snde Societe Nouvelle Drevin Exotics;Centra  373 5 Rue De La Corderie;94550;Chevilly-Larue;;;;Grossiste fruits & légumes (NAF 46.31Z);SNDE SOCIETE NOUVELLE DREVIN EXOTICS;483952297;46.31Z;3-5;2005;JEAN-LUC DREVIN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
77;B;Fabio Exotique;26 Rue Frederic Joliot Curie;94600;Choisy-Le-Roi;;;;Grossiste fruits & légumes (NAF 46.31Z);FABIO EXOTIQUE;850856956;46.31Z;;2019;FABRICE DESIRE TCHATCHOUA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
78;B;Tropica Exotic;63 Rue Victor Hugo;94700;Maisons-Alfort;;;;Intermédiaire commerce alimentaire (NAF 46.17B);TROPICA EXOTIC (TROPEXO);484281506;46.17B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
79;B;Exotic Paradise;23-25 Rue Jean-Jacques Rousseau;75001;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);EXOTIC PARADISE;931176622;46.39B;;2024;JULIEN GUILLAUME PHILIPPE BARROS;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
80;B;Exotic Products;229 Rue Saint-Honore;75001;Paris;;;;Grossiste café/thé/épices (NAF 46.37Z);EXOTIC PRODUCTS (VANILLA PREMIUM);941243792;46.37Z;;2025;AD ALTUM;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
81;B;Greniers D'Afrique;320 Rue Saint-Honore;75001;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);GRENIERS D'AFRIQUE;484968524;46.39B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
82;B;Kamer Exotic;231 Rue Saint-Honore;75001;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);KAMER EXOTIC;502343296;46.39B;;2008;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
83;B;Natural Exotic;15 Rue Des Halles;75001;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);NATURAL EXOTIC;915103907;46.31Z;;2022;NAJIA KANANE (MEROINE);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
84;B;Comptoir Madras Des Antilles;50 Rue De Moscou;75008;Paris;;;;Grossiste boissons (NAF 46.34Z);COMPTOIR MADRAS DES ANTILLES;789451770;46.34Z;;2012;HENRI JEAN JOSEPH BICHARA-JABOUR;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
85;B;Eathappy Togo France S.A.R.L;7 Rue De Castellane;75008;Paris;;;;Plats préparés (NAF 10.85Z);EATHAPPY TOGO FRANCE S.A.R.L;900553371;10.85Z;;2021;FRANÇOIS PIERRE JULIEN CHATEAU;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
86;B;Hf Exotiques;1 Rue De Stockholm;75008;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);HF EXOTIQUES;937757193;46.39B;;2024;HICHAM SBATA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
87;B;Industries Mali France;12 A 14 12 Rond-Point Des Champs Elysees-Marcel Dassault;75008;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);INDUSTRIES MALI FRANCE;510362155;46.39B;;2009;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
